Ion = Lithium     , Mass = 7.016
Tgt =  C (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.010E-02   2.778E-01  2.219E+00 
1.030E-02   2.805E-01  2.243E+00 
1.051E-02   2.833E-01  2.267E+00 
1.072E-02   2.861E-01  2.291E+00 
1.093E-02   2.890E-01  2.315E+00 
1.115E-02   2.919E-01  2.340E+00 
1.137E-02   2.948E-01  2.364E+00 
1.160E-02   2.977E-01  2.389E+00 
1.183E-02   3.007E-01  2.414E+00 
1.207E-02   3.037E-01  2.440E+00 
1.231E-02   3.067E-01  2.465E+00 
1.256E-02   3.097E-01  2.491E+00 
1.281E-02   3.128E-01  2.516E+00 
1.307E-02   3.159E-01  2.542E+00 
1.333E-02   3.191E-01  2.568E+00 
1.359E-02   3.222E-01  2.595E+00 
1.387E-02   3.254E-01  2.621E+00 
1.414E-02   3.287E-01  2.648E+00 
1.443E-02   3.320E-01  2.675E+00 
1.471E-02   3.353E-01  2.702E+00 
1.501E-02   3.386E-01  2.729E+00 
1.531E-02   3.420E-01  2.756E+00 
1.561E-02   3.454E-01  2.784E+00 
1.593E-02   3.488E-01  2.811E+00 
1.625E-02   3.523E-01  2.839E+00 
1.657E-02   3.558E-01  2.867E+00 
1.690E-02   3.593E-01  2.896E+00 
1.724E-02   3.629E-01  2.924E+00 
1.758E-02   3.665E-01  2.953E+00 
1.794E-02   3.702E-01  2.981E+00 
1.829E-02   3.738E-01  3.010E+00 
1.866E-02   3.776E-01  3.039E+00 
1.903E-02   3.813E-01  3.069E+00 
1.941E-02   3.851E-01  3.098E+00 
1.980E-02   3.889E-01  3.127E+00 
2.020E-02   3.928E-01  3.157E+00 
2.060E-02   3.967E-01  3.187E+00 
2.101E-02   4.007E-01  3.217E+00 
2.144E-02   4.047E-01  3.247E+00 
2.186E-02   4.087E-01  3.278E+00 
2.230E-02   4.127E-01  3.308E+00 
2.275E-02   4.169E-01  3.339E+00 
2.320E-02   4.210E-01  3.370E+00 
2.367E-02   4.252E-01  3.401E+00 
2.414E-02   4.294E-01  3.432E+00 
2.462E-02   4.337E-01  3.463E+00 
2.511E-02   4.380E-01  3.495E+00 
2.562E-02   4.424E-01  3.526E+00 
2.613E-02   4.468E-01  3.558E+00 
2.665E-02   4.512E-01  3.590E+00 
2.719E-02   4.557E-01  3.622E+00 
